city_context,event_type,location,example_title
Tunis,SORTIE,"Parc du Belvedere, Tunis, Tunisie",Sortie decouverte au Parc du Belvedere
Tunis,SORTIE,"Cite des Sciences, Tunis, Tunisie",Visite educative a la Cite des Sciences
Tunis,SORTIE,"Musee Oceanographique de Salammbô, La Goulette, Tunisie",Visite marine au Musee Oceanographique
Tunis,SORTIE,"Jardin Japonais, Tunis, Tunisie",Balade sensorielle au Jardin Japonais
Tunis,ATELIER,"Cite des Sciences, Tunis, Tunisie",Atelier sciences ludiques
Tunis,ATELIER,"Maison de la Culture Ibn Rachiq, Tunis, Tunisie",Atelier creatif en salle
Tunis,ATELIER,"Bibliotheque pour enfants, Tunis, Tunisie",Atelier lecture et contes
Tunis,ACTIVITE,"Jardin Japonais, Tunis, Tunisie",Jeux moteurs au Jardin Japonais
Tunis,ACTIVITE,"Parc du Belvedere, Tunis, Tunisie",Jeux d observation au parc
Tunis,ACTIVITE,"Maison de la Culture Ibn Rachiq, Tunis, Tunisie",Activite artistique en interieur
Tunis,FETE,"Parc Ennahli, Ariana, Tunisie",Fete de saison en plein air
Tunis,FETE,"Maison de la Culture Ibn Rachiq, Tunis, Tunisie",Fete a theme en salle
Tunis,REUNION_PARENTS,"Maison de la Culture Ibn Rachiq, Tunis, Tunisie",Rencontre parents educateurs
Tunis,REUNION_PARENTS,"Centre culturel municipal, Tunis, Tunisie",Reunion d information parents
Ariana,SORTIE,"Parc Ennahli, Ariana, Tunisie",Sortie nature au Parc Ennahli
Ariana,SORTIE,"Parc Urbain Nahli, Ariana, Tunisie",Balade educative au parc urbain
Ariana,ATELIER,"Maison de la Culture, Ariana, Tunisie",Atelier peinture et collage
Ariana,ATELIER,"Cite des Sciences, Tunis, Tunisie",Atelier sciences en petit groupe
Ariana,ACTIVITE,"Parc Ennahli, Ariana, Tunisie",Parcours moteur au parc
Ariana,ACTIVITE,"Maison de la Culture, Ariana, Tunisie",Activite manuelle encadree
Ariana,FETE,"Parc Ennahli, Ariana, Tunisie",Fete des couleurs au parc
Ariana,FETE,"Maison de la Culture, Ariana, Tunisie",Fete de fin de trimestre
Ariana,REUNION_PARENTS,"Maison de la Culture, Ariana, Tunisie",Echange avec les familles
Sousse,SORTIE,"Plage de Boujaafar, Sousse, Tunisie",Sortie decouverte bord de mer
Sousse,SORTIE,"AquaSplash Thalassa Sousse, Sousse, Tunisie",Sortie jeux d eau surveilles
Sousse,SORTIE,"Port El Kantaoui, Sousse, Tunisie",Balade educative au port
