day_of_week,month,hour,active_children_count,available_transport_count,avg_route_distance_km,rain_flag,school_break_flag,demand_count
0,1,7,120,8,5.2,0,0,19
1,1,7,118,8,5.0,0,0,18
2,1,8,121,8,5.1,1,0,24
3,1,16,119,8,5.3,0,0,20
4,1,17,117,8,5.4,0,0,17
0,2,7,123,8,5.2,0,0,20
1,2,8,125,8,5.6,1,0,25
2,2,7,122,7,5.8,0,0,22
3,2,16,124,7,5.6,0,0,21
4,2,17,120,7,5.7,0,0,18
0,3,7,128,9,5.3,0,0,21
1,3,8,132,9,5.4,1,0,27
2,3,7,130,9,5.4,0,0,23
3,3,16,131,9,5.6,0,0,22
4,3,17,129,9,5.7,0,0,19
0,4,7,135,9,5.5,0,0,22
1,4,8,138,9,5.7,1,0,28
2,4,7,140,9,5.8,0,0,24
3,4,16,136,9,5.6,0,0,23
4,4,17,134,9,5.7,0,0,20
0,5,7,142,10,5.9,0,0,24
1,5,8,145,10,6.0,1,0,30
2,5,7,147,10,6.1,0,0,26
3,5,16,144,10,6.0,0,0,25
4,5,17,140,10,6.2,0,0,22
0,6,7,100,8,5.0,0,1,9
1,6,8,98,8,4.9,0,1,8
2,6,7,95,8,4.8,0,1,7
3,6,16,92,8,4.9,0,1,6
4,6,17,90,8,4.7,0,1,5
0,9,7,150,10,6.3,0,0,26
1,9,8,152,10,6.2,1,0,31
2,9,7,149,10,6.1,0,0,27
3,9,16,151,10,6.2,0,0,26
4,9,17,148,10,6.0,0,0,23
0,10,7,153,10,6.4,0,0,27
1,10,8,155,10,6.5,1,0,33
2,10,7,154,10,6.4,0,0,29
3,10,16,152,10,6.5,0,0,27
4,10,17,150,10,6.3,0,0,24
