requested_hour,route_distance_km,seats_requested,same_address_flag,is_round_trip,week_day
7,4.2,1,0,0,0
7,5.1,1,0,0,1
8,6.0,1,0,0,2
16,5.2,1,0,0,3
17,4.8,1,0,0,4
7,4.0,1,0,1,0
8,5.5,1,0,1,1
16,6.1,1,0,1,2
17,5.7,1,0,1,3
7,3.9,1,0,0,4
8,4.4,1,0,0,0
7,6.3,1,0,0,1
16,7.0,1,0,0,2
17,6.2,1,0,0,3
7,5.8,2,0,0,4
8,5.0,1,0,1,0
7,4.5,1,0,0,1
16,5.6,1,0,0,2
17,5.4,1,0,1,3
8,6.4,1,0,0,4
7,4.3,1,0,0,0
8,5.3,2,0,0,1
16,6.6,1,0,0,2
17,5.1,1,0,0,3
7,4.7,1,0,0,4
8,4.9,1,0,1,0
16,5.8,1,0,1,1
17,6.0,2,0,0,2
7,5.1,1,0,0,3
8,5.2,1,0,0,4
7,4.4,1,0,0,0
8,5.6,1,0,0,1
16,6.4,1,0,0,2
17,5.9,1,0,1,3
7,4.6,2,0,0,4
8,5.8,1,0,0,0
16,6.8,1,0,0,1
17,6.1,1,0,0,2
7,4.1,1,0,1,3
8,5.0,1,0,0,4
