capacity,avg_age,surface_m2,is_climatise,has_sports_equipment,has_art_supplies,has_music_tools,room_type
10,1,25,1,0,0,0,Salle d'éveil
8,1,20,1,0,0,0,Salle d'éveil
12,2,30,1,0,1,0,Salle d'éveil
15,2,35,1,0,1,0,Salle d'éveil
10,1,22,1,0,0,0,Salle d'éveil
8,2,28,1,0,0,0,Salle d'éveil
12,1,25,1,0,0,1,Salle d'éveil
14,2,32,1,0,1,0,Salle d'éveil
20,4,50,1,1,0,0,Salle de motricité
25,5,60,0,1,0,0,Salle de motricité
18,4,45,0,1,0,0,Salle de motricité
22,5,55,1,1,0,0,Salle de motricité
20,3,48,0,1,0,0,Salle de motricité
15,4,40,1,1,0,0,Salle de motricité
18,5,52,0,1,0,0,Salle de motricité
24,4,58,1,1,0,0,Salle de motricité
12,3,30,1,0,1,0,Salle créative
10,4,28,1,0,1,1,Salle créative
8,3,25,1,0,1,0,Salle créative
15,4,35,1,0,1,1,Salle créative
10,5,30,1,0,1,0,Salle créative
12,4,32,0,0,1,1,Salle créative
14,3,33,1,0,1,0,Salle créative
11,5,29,1,0,1,1,Salle créative
30,5,80,0,1,1,1,Grande salle polyvalente
25,6,70,1,1,1,0,Grande salle polyvalente
28,4,75,0,1,0,1,Grande salle polyvalente
35,5,90,1,1,1,1,Grande salle polyvalente
30,6,85,0,1,1,0,Grande salle polyvalente
32,4,82,1,1,0,1,Grande salle polyvalente
26,5,72,0,1,1,1,Grande salle polyvalente
28,6,78,1,1,1,0,Grande salle polyvalente
15,3,38,1,0,0,1,Salle calme
10,2,25,1,0,0,0,Salle calme
12,3,30,1,0,0,0,Salle calme
8,2,22,1,0,0,0,Salle calme
14,3,35,1,0,0,1,Salle calme
10,4,28,1,0,0,0,Salle calme
12,2,27,1,0,0,0,Salle calme
15,3,34,1,0,0,1,Salle calme
20,3,45,0,1,1,0,Salle de motricité
18,4,42,1,1,0,0,Salle de motricité
22,3,50,0,1,0,0,Salle de motricité
10,1,24,1,0,0,0,Salle d'éveil
9,2,26,1,0,1,0,Salle d'éveil
25,5,65,0,1,1,1,Grande salle polyvalente
28,4,70,1,1,0,1,Grande salle polyvalente
13,4,31,1,0,1,1,Salle créative
11,3,27,0,0,1,0,Salle créative
9,3,24,1,0,0,0,Salle calme
